,score,read,pending,following,favorite,have,abandoned,Magia,Mecha,Demonios,Género Bender,Realidad Virtual,Drama,Niños,Guerra,Harem,Vampiros,Horror,Acción,Realidad,Traps,Militar,Crimen,Recuentos de la vida,Apocalíptico,Psicológico,Misterio,Musica,Extranjero,Samurái,Girls Love,Telenovela,Policiaco,Animación,Parodia,Deporte,Supervivencia,Aventura,Oeste,Superpoderes,Ecchi,Tragedia,Fantasia,Gore,Boys Love,Reencarnación,Sobrenatural,Vida Escolar,Historia,Romance,Ciencia Ficción,Thriller,Ciberpunk,Artes Marciales,Comedia,Familia,chapters_count,type_score,demography_score,book_status_score
0,9.67,17700.0,8900.0,7200.0,4100.0,1500.0,458.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.0,6.638798999779363,5.720540696002301,0
1,3.25,4000.0,2600.0,3700.0,713.0,307.0,386.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13.0,6.638798999779363,5.720540696002301,0
2,9.0,8500.0,3600.0,5700.0,2200.0,755.0,289.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.0,6.638798999779363,5.720540696002301,0
3,9.0,6400.0,2300.0,3200.0,1200.0,491.0,253.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7.0,6.638798999779363,5.720540696002301,0
4,0.0,478.0,1200.0,2600.0,420.0,206.0,141.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,29.0,6.638798999779363,5.720540696002301,0
5,10.0,880.0,1600.0,2100.0,720.0,378.0,131.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9.0,6.638798999779363,5.720540696002301,1
6,9.2,591.0,3400.0,3400.0,644.0,272.0,153.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,73.0,6.638798999779363,6.2120781065088755,0
7,9.5,4800.0,9000.0,19800.0,6300.0,2300.0,1100.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,19.0,6.638798999779363,5.720540696002301,1
8,7.67,14000.0,4200.0,6100.0,4100.0,1500.0,585.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,6.0,6.638798999779363,5.720540696002301,0
9,8.67,309.0,2100.0,5200.0,525.0,202.0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40.0,6.638798999779363,5.720540696002301,1
10,9.83,2300.0,3700.0,8300.0,1500.0,439.0,364.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,63.0,6.638798999779363,5.720540696002301,0
11,7.0,10900.0,2900.0,3400.0,2200.0,853.0,280.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.0,6.638798999779363,5.720540696002301,0
12,0.0,4200.0,2500.0,3900.0,1400.0,615.0,238.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0,6.638798999779363,5.720540696002301,0
13,9.5,6900.0,1800.0,2100.0,1900.0,585.0,181.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6.0,6.638798999779363,5.720540696002301,0
14,8.5,3600.0,2200.0,2900.0,1300.0,627.0,164.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6.0,6.638798999779363,5.720540696002301,0
15,10.0,4900.0,3900.0,6700.0,2800.0,1400.0,477.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12.0,6.638798999779363,5.720540696002301,0
16,8.86,2600.0,8900.0,14700.0,4100.0,1400.0,749.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,133.0,6.638798999779363,5.720540696002301,1
17,10.0,12800.0,8300.0,8100.0,4600.0,1500.0,691.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,23.0,6.638798999779363,5.720540696002301,0
18,10.0,4900.0,3000.0,2800.0,1200.0,731.0,238.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.0,6.638798999779363,5.720540696002301,0
19,9.75,8200.0,3400.0,3500.0,3400.0,921.0,234.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,7.0,6.638798999779363,5.720540696002301,0
20,5.0,6800.0,6000.0,7100.0,2700.0,1400.0,878.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8.0,6.638798999779363,6.549223300970874,0
21,9.2,7600.0,3700.0,5000.0,2400.0,1100.0,532.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7.0,6.638798999779363,5.720540696002301,0
