,demography_score,type_score,score,read,book_status_score,pending,following,favorite,have,abandoned,chapters_count
4702,6.212078106508876,6.638798999779363,0.0,7.0,1,74.0,149.0,9.0,11.0,4.0,9.0
8111,6.549223300970874,6.638798999779363,8.78,465.0,0,441.0,464.0,103.0,89.0,57.0,3.0
18456,6.581481918238994,4.637315837937385,0.0,366.0,1,1800.0,3900.0,649.0,426.0,373.0,34.0
12281,6.581481918238994,6.638798999779363,0.0,77.0,0,223.0,418.0,63.0,41.0,22.0,2.0
2046,6.212078106508876,6.638798999779363,10.0,856.0,0,2900.0,5100.0,1300.0,740.0,497.0,31.0
6284,6.549223300970874,6.638798999779363,9.03,731.0,1,3000.0,7600.0,1300.0,578.0,400.0,61.0
693,5.720540696002301,6.638798999779363,0.0,855.0,1,1700.0,3000.0,573.0,397.0,235.0,5.0
5139,6.212078106508876,6.638798999779363,6.8,35.0,0,164.0,113.0,2.0,5.0,12.0,2.0
12297,6.581481918238994,6.638798999779363,0.0,41.0,2,228.0,407.0,66.0,47.0,25.0,7.0
7335,6.549223300970874,6.638798999779363,10.0,552.0,0,375.0,717.0,178.0,85.0,50.0,8.0
3866,6.212078106508876,6.638798999779363,0.0,28.0,1,255.0,352.0,77.0,38.0,23.0,6.0
5668,6.549223300970874,6.638798999779363,9.0,1200.0,0,1800.0,1500.0,189.0,124.0,90.0,41.0
2827,6.212078106508876,6.638798999779363,8.34,431.0,0,1100.0,2500.0,235.0,125.0,115.0,32.0
14323,6.549223300970874,6.116376146788991,0.0,300.0,1,400.0,646.0,119.0,90.0,132.0,1.0
5731,6.549223300970874,6.638798999779363,0.0,173.0,1,744.0,1500.0,217.0,107.0,115.0,11.0
7300,6.549223300970874,6.638798999779363,0.0,68.0,1,357.0,992.0,84.0,48.0,59.0,1.0
2567,6.212078106508876,6.638798999779363,7.0,674.0,3,1300.0,3300.0,608.0,430.0,365.0,12.0
17366,6.212078106508876,4.637315837937385,10.0,514.0,1,2100.0,4200.0,929.0,657.0,356.0,50.0
4445,6.212078106508876,6.638798999779363,8.85,997.0,0,734.0,671.0,35.0,17.0,15.0,12.0
6716,6.549223300970874,6.638798999779363,9.0,2000.0,0,4100.0,6400.0,2000.0,1000.0,548.0,3.0
18626,6.581481918238994,4.637315837937385,0.0,322.0,1,1000.0,2300.0,496.0,283.0,145.0,20.0
4776,6.212078106508876,6.638798999779363,8.86,18.0,0,325.0,328.0,25.0,25.0,26.0,12.0
3339,6.212078106508876,6.638798999779363,9.0,1000.0,0,1100.0,1100.0,232.0,161.0,73.0,8.0
1412,5.720540696002301,6.638798999779363,9.0,977.0,0,1600.0,1400.0,706.0,393.0,129.0,15.0
1378,5.720540696002301,6.638798999779363,7.88,1600.0,0,1100.0,762.0,145.0,90.0,96.0,43.0
11662,6.581481918238994,6.638798999779363,10.0,182.0,1,535.0,1600.0,493.0,162.0,53.0,6.0
4722,6.212078106508876,6.638798999779363,0.0,10.0,1,35.0,31.0,14.0,1.0,11.0,6.0
17679,6.212078106508876,4.637315837937385,8.48,45.0,0,231.0,237.0,10.0,3.0,14.0,6.0
12756,6.581481918238994,6.638798999779363,7.0,336.0,0,567.0,378.0,22.0,20.0,16.0,17.0
15933,6.549223300970874,6.116376146788991,8.96,177.0,0,473.0,656.0,70.0,56.0,108.0,3.0
16177,6.549223300970874,6.116376146788991,7.44,169.0,0,126.0,80.0,6.0,7.0,5.0,1.0
14589,6.212078106508876,6.116376146788991,8.97,3200.0,1,10600.0,28700.0,9900.0,5600.0,3600.0,340.0
9374,6.549223300970874,6.638798999779363,0.0,23.0,1,81.0,174.0,8.0,7.0,12.0,1.0
10897,6.581481918238994,6.638798999779363,5.0,1600.0,1,5400.0,19200.0,2700.0,1400.0,1100.0,30.0
380,5.720540696002301,6.638798999779363,0.0,1700.0,0,814.0,1100.0,304.0,160.0,66.0,15.0
7118,6.549223300970874,6.638798999779363,0.0,255.0,0,595.0,1200.0,221.0,124.0,94.0,19.0
8263,6.549223300970874,6.638798999779363,9.0,730.0,0,333.0,291.0,85.0,37.0,20.0,5.0
12739,6.581481918238994,6.638798999779363,0.0,5.0,1,107.0,136.0,16.0,15.0,18.0,3.0
4518,6.212078106508876,6.638798999779363,0.0,15.0,1,221.0,265.0,27.0,30.0,14.0,6.0
