,score
4702,0.0
8111,8.78
18456,0.0
12281,0.0
2046,10.0
6284,9.03
693,0.0
5139,6.8
12297,0.0
7335,10.0
3866,0.0
5668,9.0
2827,8.34
14323,0.0
5731,0.0
7300,0.0
2567,7.0
17366,10.0
4445,8.85
6716,9.0
18626,0.0
4776,8.86
3339,9.0
1412,9.0
1378,7.88
11662,10.0
4722,0.0
17679,8.48
12756,7.0
15933,8.96
16177,7.44
14589,8.97
9374,0.0
10897,5.0
380,0.0
7118,0.0
8263,9.0
12739,0.0
4518,0.0
9869,9.5
3581,0.0
5251,8.85
10574,0.0
9083,8.7
17626,0.0
3315,9.14
1397,0.0
14044,9.9
4714,7.91
12966,7.53
14845,7.67
8137,0.0
4019,8.0
18677,0.0
1872,8.68
2440,9.0
15392,9.5
12005,8.86
4892,8.77
6049,5.0
14357,10.0
3476,0.0
17892,8.5
6133,8.0
4493,8.46
16995,8.5
1366,0.0
18203,0.0
1640,8.38
11746,8.9
3958,8.0
2374,0.0
8185,10.0
1317,0.0
16676,0.0
18745,0.0
6996,8.5
2186,8.95
18133,0.0
18480,0.0
16430,8.53
6678,6.0
14418,0.0
12977,8.63
8342,7.0
12424,9.36
9822,7.6
10436,7.44
5943,9.16
5119,8.7
7395,10.0
12273,0.0
8319,8.0
7865,8.86
13363,8.88
5302,9.67
2896,6.86
6146,9.0
1446,6.0
14058,10.0
640,0.0
13356,8.13
9142,7.92
4912,0.0
5471,8.0
3444,10.0
4267,0.0
9834,7.57
9675,8.4
14490,0.0
166,9.0
1630,9.0
4068,8.38
10544,0.0
18643,8.0
9318,7.71
14356,8.13
6142,9.5
10833,10.0
10860,10.0
14466,9.0
15065,0.0
17199,0.0
2161,9.16
12536,0.0
19014,0.0
15193,7.6
2086,8.33
7367,0.0
9207,0.0
763,0.0
8237,8.44
7737,0.0
439,3.5
14127,9.94
16154,8.82
491,0.0
10653,10.0
17052,8.5
12947,8.0
11022,9.78
15286,5.0
1207,9.03
10957,0.0
7341,8.0
18141,0.0
18120,0.0
16531,0.0
773,0.0
13350,7.69
11094,8.73
12696,8.85
9936,8.83
5371,10.0
6840,8.55
11628,8.86
8765,0.0
6646,9.0
262,9.4
15980,0.0
6962,10.0
14145,8.57
1786,7.68
15887,0.0
12114,0.0
7836,8.79
5974,9.0
11044,8.9
14482,2.0
11911,8.76
8451,9.0
1373,8.0
9452,8.68
1343,0.0
6058,6.5
3257,10.0
9168,7.86
8379,7.84
4760,8.52
11451,9.0
474,0.0
9264,0.0
2340,8.7
10582,7.57
4881,8.55
6597,8.65
12374,6.0
16777,8.64
2743,10.0
11010,9.21
6895,10.0
9198,0.0
9216,8.28
11728,7.0
13083,8.84
18715,0.0
15359,10.0
10930,8.0
11714,8.66
1392,4.0
10965,8.5
846,7.5
1592,0.0
14033,10.0
12416,8.83
13237,0.0
15493,0.0
4597,0.0
6230,8.81
17354,7.0
245,10.0
16484,7.5
13696,8.5
7938,8.74
6217,7.67
17381,0.0
18144,6.0
5799,8.2
9617,8.64
17007,8.67
3295,4.4
17664,0.0
3586,0.0
9260,8.38
916,8.5
7221,8.78
16208,7.7
3827,8.63
14493,6.5
11619,7.0
3409,8.7
18451,9.0
1467,0.0
14534,7.56
1288,0.0
13615,8.1
3287,9.0
7417,8.91
17620,0.0
11903,8.06
7180,8.82
10816,9.0
10362,8.33
13360,8.46
6326,9.12
4999,8.54
2988,10.0
3304,9.0
13644,8.75
779,10.0
6416,10.0
9446,7.93
17639,8.0
5844,0.0
10334,5.33
15307,9.5
7223,8.89
15140,7.5
14819,0.0
14194,8.0
18918,8.83
3902,8.5
15913,0.0
7518,0.0
14370,0.0
8514,0.0
3101,8.0
12994,8.66
15658,9.0
5721,6.0
16066,8.75
9073,0.0
12298,8.52
3303,10.0
6359,0.0
15829,8.93
5553,8.91
17591,0.0
17582,0.0
17622,0.0
7620,10.0
9844,4.5
10811,9.5
5396,9.0
10625,9.2
2477,9.43
4625,8.39
10124,8.0
13212,7.87
12379,0.0
7128,8.35
4563,8.49
9940,9.0
12075,8.0
10681,0.0
12507,8.97
14497,9.43
1407,0.0
3211,9.31
4768,8.56
9516,7.94
17260,7.0
1464,0.0
18960,0.0
11745,0.0
18222,0.0
2066,9.0
10977,10.0
12262,8.7
17957,0.0
4349,8.91
13326,0.0
3198,9.09
13211,7.28
2893,3.0
14513,0.0
1041,6.0
9221,8.52
6982,8.81
3269,8.0
57,9.0
17146,10.0
12034,8.63
3135,0.0
74,10.0
6456,8.39
7671,7.0
3546,0.0
1932,0.0
15110,0.0
18205,0.0
14918,9.18
7269,9.09
14887,0.0
820,6.0
1521,7.62
16890,0.0
16913,10.0
12098,8.45
11716,5.0
14921,0.0
11005,8.62
6753,8.8
2741,9.5
8047,9.13
5960,9.07
6700,0.0
11052,10.0
411,10.0
2582,0.0
13541,7.5
12248,7.0
7813,8.67
1281,7.0
1580,8.47
14874,6.0
4018,0.0
8991,8.28
9342,8.79
12590,0.0
12008,9.0
11585,8.55
5058,0.0
11384,8.6
1515,9.0
13471,8.65
13984,10.0
7715,0.0
1062,9.0
6771,10.0
17224,10.0
15317,10.0
2644,0.0
19017,8.3
10981,10.0
6350,9.13
13783,4.2
6199,6.75
3691,10.0
10925,10.0
537,10.0
454,5.5
2772,9.0
9251,0.0
13064,8.89
4234,0.0
14,8.5
2199,10.0
2304,10.0
13732,10.0
13346,8.42
17686,0.0
12275,8.84
3470,9.14
18474,0.0
12266,7.24
9762,7.75
12730,8.58
14331,9.0
13591,7.0
2760,10.0
14947,5.0
13044,0.0
18962,0.0
2087,8.0
4863,0.0
15084,8.61
7795,8.64
2069,10.0
9890,8.0
8883,0.0
1858,8.21
16573,8.39
2812,7.0
9529,7.72
8932,0.0
1406,0.0
17496,9.0
3501,10.0
6254,9.0
6186,10.0
16770,8.39
11715,8.0
18706,0.0
9662,7.68
5288,7.0
10136,9.18
17730,9.67
1651,7.6
4472,8.0
4782,8.78
14118,10.0
4916,0.0
2041,4.9
3951,9.01
18636,0.0
16165,8.64
1834,7.83
15784,0.0
7460,0.0
14399,8.06
3592,0.0
9072,0.0
1045,0.0
5402,9.07
11396,9.18
8513,8.36
13129,9.13
19031,7.14
5059,8.72
15355,9.5
11488,8.08
5141,8.5
2775,6.0
6470,8.73
8833,8.37
493,7.5
8092,8.48
17150,9.0
12955,8.41
303,10.0
14571,8.8
3748,8.9
6531,9.5
2449,8.0
18482,7.5
8011,8.0
999,10.0
18588,1.0
7744,8.81
6198,8.37
9717,6.83
3848,8.68
16159,0.0
8843,8.1
1920,8.63
9531,7.72
7135,8.2
9635,8.48
12652,8.58
3108,6.25
2747,10.0
10995,0.0
8978,8.59
16106,0.0
7,9.5
17237,0.0
8181,7.6
14277,10.0
17377,0.0
12233,8.82
8393,8.18
17918,10.0
11374,0.0
15735,10.0
148,10.0
9400,0.0
4923,8.14
12857,8.17
6353,6.0
10020,10.0
1141,0.0
2187,7.67
4416,7.85
11057,8.8
4577,8.91
17993,9.0
17144,0.0
4453,8.37
1398,0.0
4836,8.0
4700,9.12
15430,9.14
7539,8.76
156,0.0
16579,5.0
2663,9.15
10727,8.0
2753,10.0
10770,7.0
1778,0.0
5931,8.81
9758,7.98
15469,8.5
15122,0.0
11527,10.0
9422,8.07
2797,7.5
15346,8.92
15265,10.0
3074,9.03
10469,8.23
2110,8.0
6164,9.22
8857,7.33
15210,10.0
6294,0.0
1861,0.0
13339,8.35
7038,8.92
16227,8.91
12843,8.69
2474,9.8
11775,0.0
15053,8.27
2535,8.8
8730,8.48
10603,9.0
13889,10.0
6256,9.08
18769,10.0
5832,10.0
14594,0.0
13677,9.0
9648,6.64
9012,7.0
17617,5.0
13713,9.25
9389,0.0
17543,0.0
17881,8.5
14345,0.0
14068,10.0
6439,9.0
14468,8.92
7811,0.0
8050,8.9
11239,8.0
3426,0.0
8249,10.0
2641,10.0
5855,8.67
17367,0.0
3559,9.0
2033,0.0
5767,7.67
15572,0.0
2032,8.66
4395,10.0
1597,7.85
7455,8.69
6482,9.0
2877,8.0
8776,8.33
17578,0.0
10891,8.92
1501,0.0
18798,9.0
8134,8.89
11519,0.0
2598,9.33
8269,8.17
17650,0.0
12605,0.0
5655,9.33
17820,0.0
11991,8.47
1188,0.0
12459,8.87
14869,6.5
13730,10.0
3402,9.0
3467,8.16
8506,10.0
8161,0.0
254,8.67
5042,8.56
18333,9.5
2073,8.5
2583,8.0
2157,9.0
14738,6.33
15976,8.64
4919,0.0
13527,7.4
7465,8.92
8070,8.85
10802,10.0
16396,9.0
7093,0.0
16281,9.06
8732,8.25
1013,0.0
14390,0.0
1779,0.0
10677,9.5
6735,9.33
12547,8.49
665,9.75
8934,8.29
16402,7.0
16446,0.0
7472,8.66
10866,7.46
7880,0.0
14996,8.63
5853,9.4
6666,0.0
12115,0.0
17465,9.0
7410,0.0
15414,10.0
7201,9.01
7203,8.7
18787,8.0
15311,10.0
3281,0.0
10333,9.1
2766,8.79
1315,0.0
7579,4.0
16231,9.0
16237,8.0
18639,8.49
7123,8.71
6977,8.74
11120,9.0
2927,9.5
15619,10.0
6496,8.87
10255,8.67
7896,8.0
555,8.33
14435,0.0
5950,8.89
11910,10.0
8043,8.46
3292,8.92
17674,0.0
17614,6.0
3735,8.0
5607,0.0
11195,8.9
2587,10.0
10529,0.0
11362,9.5
12000,0.0
12562,8.49
2453,9.5
10718,9.25
5005,8.24
1746,8.29
12470,10.0
17709,0.0
8792,9.11
5411,10.0
12157,9.05
6400,9.2
8234,0.0
4440,8.51
5161,8.0
16563,8.82
13127,8.37
7771,8.11
11214,0.0
15549,9.18
1064,0.0
14444,6.0
17764,9.06
3891,8.21
7544,8.73
13267,0.0
7942,0.0
12837,8.32
14764,1.0
6734,9.03
3265,9.02
1255,7.0
8954,8.65
4484,8.35
18287,8.76
14660,8.22
793,6.0
16405,9.21
17184,0.0
341,10.0
12854,7.0
14795,8.2
9640,0.0
15182,8.7
13648,7.75
5829,9.0
11787,0.0
3494,0.0
11754,0.0
9766,7.02
15721,0.0
1313,0.0
1729,0.0
15116,0.0
4436,10.0
8836,8.84
10478,8.5
6626,8.67
1476,8.44
9017,8.46
17804,0.0
12280,7.51
8131,8.21
2414,10.0
9171,0.0
17991,9.0
16689,0.0
1572,7.0
6736,10.0
4515,9.33
5370,9.67
7929,8.82
6575,4.0
13443,8.94
18382,5.5
6465,9.2
5598,8.75
11596,0.0
15581,8.5
18341,10.0
3539,8.46
635,9.0
716,0.0
826,0.0
7527,8.71
14376,0.0
3297,0.0
11013,9.1
16050,8.54
15632,10.0
12629,8.0
1628,8.0
11555,0.0
8095,0.0
3589,8.67
11591,0.0
17728,7.0
13263,8.3
2252,10.0
13876,0.0
19008,8.72
18973,8.56
6011,9.33
4482,0.0
13539,8.02
5604,8.0
6534,8.62
408,8.86
263,9.71
16532,0.0
409,9.5
6119,8.91
10902,8.64
9214,8.49
4498,8.0
3884,7.5
130,6.33
16834,8.73
4388,8.76
8769,7.9
11842,0.0
4655,8.0
11974,8.32
4766,8.7
6805,9.0
2923,9.4
6424,10.0
4677,8.0
16476,8.26
13287,9.25
7314,10.0
4163,8.14
6004,8.59
17408,10.0
16389,7.88
9905,8.33
6226,9.0
10143,7.67
8611,0.0
7682,0.0
7298,10.0
13037,8.62
13686,10.0
9424,8.48
15321,9.0
1810,8.72
45,9.0
7229,9.0
8876,5.0
8551,0.0
14985,8.16
3744,10.0
17329,0.0
7996,8.32
16529,0.0
10695,9.15
9643,0.0
9573,6.72
3999,0.0
2530,9.67
12909,8.0
18750,9.5
18694,8.93
9077,7.66
9854,9.05
12634,8.67
4148,0.0
7400,0.0
5107,8.81
18840,8.47
8736,8.15
9756,7.15
10229,7.5
16734,8.94
3694,0.0
6342,9.0
14424,0.0
5263,8.43
18153,9.26
16140,0.0
11131,8.83
14258,10.0
12771,8.0
2292,9.5
7137,0.0
7878,7.85
8129,8.77
16444,0.0
7913,8.42
4084,7.8
11354,9.18
2272,8.33
9332,0.0
5663,5.5
742,9.33
3128,0.0
12671,9.01
15109,0.0
17284,0.0
13487,7.31
